Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.0130565,23.6046511627907,-1.7424963,-3.9840481907129286,-3.9840481907129286,1.0
2000,2.028025,22.36842105263158,-1.6061115,-4.097398710250855,-4.097398710250855,1.0
3000,2.0220618,24.0,-1.7542334,-3.892356174332755,-3.892356174332755,1.0
4000,2.0222285,21.891304347826086,-1.6448926,-4.163316835056651,-4.163316835056651,1.0
5000,2.0246785,22.071428571428573,-1.7249516,-4.295245029709556,-4.295245029709556,1.0
6000,2.0273724,22.162790697674417,-1.640355,-4.180281400680542,-4.180281400680542,1.0
7000,2.0225956,24.19047619047619,-1.6869477,-4.397238603005042,-4.397238603005042,1.0
8000,2.013519,23.205128205128204,-1.7217803,-3.8163422137498855,-3.8163422137498855,1.0
9000,2.0153372,22.555555555555557,-1.772115,-4.323881638355744,-4.323881638355744,1.0
10000,2.0172632,21.846153846153847,-1.6721891,-4.340971738100052,-4.340971738100052,1.0
11000,2.0040078,26.583333333333332,-1.7231239,-3.5208924313386283,-3.5208924313386283,1.0
12000,1.9753528,22.513513513513512,-1.7789711,-4.105559426385003,-4.105559426385003,1.0
13000,1.9624207,23.783783783783782,-1.8678858,-3.944969139601055,-3.944969139601055,1.0
14000,1.9598497,23.37142857142857,-1.9384537,-4.062690718306436,-4.062690718306436,1.0
15000,1.9600832,24.342105263157894,-1.8386087,-3.742842497052373,-3.742842497052373,1.0
16000,1.9500247,21.416666666666668,-1.851442,-4.1287252969212,-4.1287252969212,1.0
17000,1.9469396,23.09090909090909,-1.8871675,-4.410788230823748,-4.410788230823748,1.0
18000,1.943052,21.848484848484848,-1.8773609,-4.1963574597329805,-4.1963574597329805,1.0
19000,1.9438784,27.846153846153847,-1.9306107,-3.714991653576875,-3.714991653576875,1.0
20000,1.931781,22.923076923076923,-1.9710441,-3.9688154657681785,-3.9688154657681785,1.0
21000,1.9503833,22.5,-2.5939276,-3.8068138150607838,-3.8068138150607838,1.0
22000,1.9663353,21.10810810810811,-2.897383,-3.9815223353249687,-3.9815223353249687,1.0
23000,1.9641373,21.28125,-2.968188,-4.033576333161556,-4.033576333161556,1.0
24000,1.994637,52.60606060606061,-2.911924,-277.1145183534333,-277.1145183534333,1.0
25000,2.0087028,22.89189189189189,-2.1461952,-3.926316301612293,-3.926316301612293,1.0
26000,2.0108426,22.529411764705884,-2.07419,-3.637829412432278,-3.637829412432278,1.0
27000,2.0069509,24.806451612903224,-2.1520557,-3.8446758314967155,-3.8446758314967155,1.0
28000,2.0042834,21.17142857142857,-2.1921382,-4.052367922506835,-4.052367922506835,1.0
29000,2.0207515,50.583333333333336,-2.0844402,-1.740308454542449,-1.740308454542449,1.0
30000,2.0163789,24.025,-2.1531537,-4.086084166169167,-4.086084166169167,1.0
31000,2.016142,22.2,-2.221931,-3.999010285815677,-3.999010285815677,1.0
32000,1.9839901,21.94736842105263,-2.2600586,-4.59211792443928,-4.59211792443928,1.0
33000,1.9782976,22.23076923076923,-2.317257,-4.1435279156032365,-4.1435279156032365,1.0
34000,1.9963577,21.7027027027027,-2.3201487,-3.897748598926946,-3.897748598926946,1.0
35000,1.9940274,24.37142857142857,-2.2859688,-3.857209289775175,-3.857209289775175,1.0
36000,2.0003772,22.675675675675677,-2.5137231,-4.223657604810354,-4.223657604810354,1.0
37000,2.0019343,80.11428571428571,-2.508698,-17.53075827635599,-17.53075827635599,1.0
38000,1.9940704,25.55,-2.2274716,-3.5627729948176894,-3.5627729948176894,1.0
39000,1.9964857,23.325,-2.2451057,-3.9286897824360776,-3.9286897824360776,1.0
40000,1.9998575,24.463414634146343,-2.2552402,-4.201006171179981,-4.201006171179981,1.0
41000,1.9965882,22.341463414634145,-2.264336,-4.100247293710709,-4.100247293710709,1.0
42000,1.9863929,22.65909090909091,-2.2863505,-3.9088725010553995,-3.9088725010553995,1.0
43000,1.9658539,24.833333333333332,-2.2315593,-3.5387334018140226,-3.5387334018140226,1.0
44000,1.9527411,22.324324324324323,-2.2874255,-3.8168215107273413,-3.8168215107273413,1.0
45000,1.9481745,24.379310344827587,-2.1900067,-3.890358875537741,-3.890358875537741,1.0
46000,1.9529315,27.205882352941178,-2.2937155,-3.6917598128318785,-3.6917598128318785,1.0
47000,1.9474989,22.482758620689655,-2.2161417,-3.6450175888398113,-3.6450175888398113,1.0
48000,1.9397695,21.441176470588236,-2.46487,-4.098319018588347,-4.098319018588347,1.0
49000,1.9445226,24.516129032258064,-2.590608,-3.6276052912076313,-3.6276052912076313,1.0
50000,1.927354,23.6,-2.818068,-4.017339805076862,-4.017339805076862,1.0
51000,1.9334097,21.1,-2.8559914,-4.103519078223936,-4.103519078223936,1.0
52000,1.9302838,22.517241379310345,-3.1296375,-4.003296399938649,-4.003296399938649,1.0
53000,1.9311628,22.181818181818183,-2.4197607,-4.02710952127681,-4.02710952127681,1.0
54000,1.9448787,20.766666666666666,-3.4429884,-4.090873392422994,-4.090873392422994,1.0
55000,1.9439837,23.846153846153847,-4.4892507,-3.8399058259450474,-3.8399058259450474,1.0
56000,1.9337415,23.964285714285715,-4.8007517,-3.583147883415222,-3.583147883415222,1.0
57000,1.9227945,21.689655172413794,-5.3963685,-4.08511957415828,-4.08511957415828,1.0
58000,1.9170607,20.310344827586206,-5.566121,-3.6820584206745544,-3.6820584206745544,1.0
59000,1.9112395,54.6,-6.1181145,-0.5007602264141214,-0.5007602264141214,1.0
60000,1.94165,60.64,-6.6830945,-74.71143713167736,-74.71143713167736,1.0
61000,1.9281005,25.085714285714285,-4.1088324,-3.310277683394296,-3.310277683394296,1.0
62000,1.9357461,81.38235294117646,-5.9037127,-253.00816826556218,-253.00816826556218,1.0
63000,1.9127907,20.68421052631579,-4.834981,-4.14747495908995,-4.14747495908995,1.0
64000,1.9043263,23.83783783783784,-5.3551817,-3.7648795882337973,-3.7648795882337973,1.0
65000,1.9139346,23.27777777777778,-5.786454,-3.99661303891076,-3.99661303891076,1.0
66000,1.9094824,22.44736842105263,-4.882108,-4.020153430792002,-4.020153430792002,1.0
67000,1.9216986,48.973684210526315,-6.3565097,-200.1499902480527,-200.1499902480527,1.0
68000,1.9228599,23.763157894736842,-3.5430474,-3.850202754924172,-3.850202754924172,1.0
69000,1.9036846,23.62162162162162,-3.7980647,-4.011910186873542,-4.011910186873542,1.0
70000,1.9182931,48.24390243902439,-6.0385404,-94.91577255216085,-94.91577255216085,1.0
71000,1.9391385,21.613636363636363,-2.216555,-4.080597817897797,-4.080597817897797,1.0
72000,1.9311165,23.384615384615383,-2.2340934,-4.261998414993286,-4.261998414993286,1.0
73000,1.9278715,24.475,-2.2035966,-4.086482262611389,-4.086482262611389,1.0
74000,1.9153231,22.348837209302324,-2.2713063,-3.9773946092242287,-3.9773946092242287,1.0
75000,1.912563,21.55,-2.3519852,-4.3907598344291126,-4.3907598344291126,1.0
76000,1.9215544,25.083333333333332,-2.1824932,-4.115919628077084,-4.115919628077084,1.0
77000,1.9210411,24.0,-2.4828818,-4.289307000807353,-4.289307000807353,1.0
78000,1.9290959,23.10810810810811,-2.9340029,-3.750403943989012,-3.750403943989012,1.0
79000,1.9201945,22.18918918918919,-3.302379,-4.525685937781083,-4.525685937781083,1.0
80000,1.9239749,22.764705882352942,-3.7213159,-4.626618539585786,-4.626618539585786,1.0
