Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.13414,-0.7216036,65.73333333333333,-3.363959001643317,-3.363959001643317,1.0
2000,2.1392674,-0.8870165,30.653846153846153,-3.667387818848645,-3.667387818848645,1.0
3000,2.1316962,-0.6176572,90.53846153846153,-3.738024739548564,-3.738024739548564,1.0
4000,2.1347265,-0.54500186,34.875,-3.896262695391973,-3.896262695391973,1.0
5000,2.1382148,-0.7793867,75.18181818181819,-2.990622741593556,-2.990622741593556,1.0
6000,2.1295264,-0.90927726,39.30434782608695,-3.4250642275032788,-3.4250642275032788,1.0
7000,2.1357453,-0.18724708,424.0,-0.6080926805734634,-0.6080926805734634,1.0
8000,2.1332593,-0.5195744,112.63636363636364,-2.576643632352352,-2.576643632352352,1.0
9000,2.1304893,-1.0282917,29.21212121212121,-3.5551406000599717,-3.5551406000599717,1.0
10000,2.1331596,-0.8185006,26.904761904761905,-3.8178978724913164,-3.8178978724913164,1.0
11000,2.149529,-0.87967277,78.66666666666667,-2.579936973312322,-2.579936973312322,1.0
12000,2.1582506,-1.0338559,39.59090909090909,-3.9335521511409595,-3.9335521511409595,1.0
13000,2.1536033,-1.127569,34.70967741935484,-3.5527720550696054,-3.5527720550696054,1.0
14000,2.1545925,-1.1932597,32.0,-3.7565469245115914,-3.7565469245115914,1.0
15000,2.1549902,-1.276979,27.13888888888889,-3.4232408702373505,-3.4232408702373505,1.0
16000,2.1585295,-0.3460872,247.25,-2.487815011292696,-2.487815011292696,1.0
17000,2.1586342,-0.48940125,57.8,-1.4788827498753865,-1.4788827498753865,1.0
18000,2.1579816,-1.010908,62.333333333333336,-2.8649675525151768,-2.8649675525151768,1.0
19000,2.153006,-1.268572,27.03448275862069,-3.964810478687286,-3.964810478687286,1.0
20000,2.1579885,-0.40127534,164.71428571428572,-2.4571778497525623,-2.4571778497525623,1.0
21000,2.163373,-0.6739507,36.0,-3.123135495185852,-3.123135495185852,1.0
22000,2.1654422,-1.2384046,55.89655172413793,-3.1782759313604663,-3.1782759313604663,1.0
